"Luxembourg"	"41272.00"
"Montenegro"	"41426.00"
"El_Salvador"	"41880.00"
"Thailand"	"4237.00"
"Bermuda"	"431.00"
"South_Korea"	"43484.00"
"Bhutan"	"438.00"
"Pakistan"	"440787.00"
"Philippines"	"449400.00"
"Somalia"	"4579.00"
"Fiji"	"46.00"
"Canada"	"460743.00"
"Kosovo"	"46580.00"
"Albania"	"48530.00"
"Bangladesh"	"490533.00"
"Afghanistan"	"49273.00"
"Central_African_Republic"	"4936.00"
"Aruba"	"5049.00"
"United_Republic_of_Tanzania"	"509.00"
"Mauritius"	"515.00"
"Equatorial_Guinea"	"5185.00"
"Faroe_Islands"	"528.00"
"Ghana"	"53014.00"
"Suriname"	"5353.00"
"Iceland"	"5557.00"
"Romania"	"556335.00"
"Chile"	"571919.00"
"Djibouti"	"5728.00"
"Iraq"	"574634.00"
"Czechia"	"581079.00"
